country_code,year,life_expectancy_who
PRT,2021,83.88307768
IRN,2017,77.47896726
COG,2020,63.35937843
URY,2020,81.17369396
TUN,2017,79.56072663
LUX,2020,80.85064152
BHR,2017,74.92372356
BEN,2021,61.71936134
OMN,2017,74.14573276
TUN,2015,79.30168888
MLT,2020,80.19637925
SRB,2019,73.2561277
LBN,2020,77.70116098
RUS,2019,68.16534912
BRN,2017,75.15956566
CHL,2015,80.12508082
CAF,2019,50.31051517
SVN,2015,77.55910861
SAU,2014,77.22323995
GNB,2019,56.4136621
EMR,2021,66.92933735
COL,2015,79.9885466
IRQ,2019,70.25762098
SYC,2014,76.66004097
SEN,2019,70.28443603
SLE,2021,61.89026131
IND,2015,67.89522503
BRN,2015,76.55761257
VNM,2017,77.74297785
WB_HI,2015,77.91325574
KEN,2019,66.50141922
AFR,2019,62.26132274
FJI,2015,65.79628006
CAN,2016,81.74452018
VEN,2014,69.97916689
POL,2016,77.66853135
GRD,2020,75.35142309
FIN,2014,83.59062081
SUR,2014,69.96422454
MMR,2017,64.76363796
COM,2015,68.48322198
CZE,2014,75.68015592
UKR,2021,70.90674708
GTM,2020,70.95988885
SYR,2021,70.56090217
SEAR,2020,72.84887121
NER,2014,58.56140383
SYR,2020,74.54480055
CRI,2016,82.70925179
EGY,2021,66.6899896
ARG,2015,73.33043006
KAZ,2019,73.20279408
HUN,2020,72.37645571
WB_LMI,2018,69.2822965
GNQ,2015,59.99147965
KWT,2015,84.89554392
HRV,2015,77.60709528
BFA,2018,64.70996921
CIV,2016,61.62678525
GBR,2014,79.16711376
MEX,2020,70.94625179
PRK,2015,71.407681
SLV,2021,76.24875651
GNQ,2016,59.604683
BLZ,2018,72.11599062
AMR,2016,76.70935415
SEN,2016,66.14084303
CHL,2014,82.4781751
PAK,2014,66.2276814
CUB,2016,75.92566148
QAT,2014,78.07965998
DNK,2017,82.73893983
EST,2021,77.13131363
WB_LMI,2020,69.04426229
KWT,2021,81.75064092
MDG,2016,62.44500669
HND,2017,69.99942972
PNG,2021,64.20316779
MKD,2020,76.72549185
TUR,2017,74.54173707
CAN,2019,80.12488697
TGO,2015,61.52164894
PER,2016,78.47624687
LVA,2019,79.97065759
ATG,2015,73.79291126
JAM,2018,69.62501596
BLZ,2015,77.40925842
LVA,2020,79.86405958
MOZ,2021,60.54787171
MNE,2017,74.21692268
CUB,2019,77.66173555
CMR,2021,61.76934896
ISL,2015,82.12605142
PNG,2018,66.51753655
GAB,2015,61.57914986
FJI,2019,67.86595098
BLR,2014,78.36681768
BEL,2014,78.53436594
MMR,2014,63.93730984
GNB,2021,61.1022492
HRV,2017,75.19045711
DEU,2020,78.51577838
SVN,2017,78.00339284
SLE,2019,61.30133453
CPV,2015,71.87995021
COG,2017,62.84312978
SLV,2020,67.12666586
HND,2020,70.3347631
FSM,2021,68.65811813
SVK,2021,71.12508991
JPN,2021,87.15803555
STP,2021,72.81319018
KHM,2015,68.66739766
SVN,2021,77.53865791
ISL,2019,83.90044964
CHE,2019,83.47957563
AUS,2021,81.3088329
THA,2017,77.22944399
LBN,2014,78.22558226
POL,2017,77.56192606
PNG,2020,67.84084271
VEN,2020,68.01723212
CPV,2015,77.71554764
PRI,2020,83.64715791
PAK,2020,65.84948383
TUR,2018,75.00979639
MOZ,2021,57.66202708
ERI,2017,63.17091217
URY,2014,77.15013883
ALB,2014,80.12636552
NZL,2014,81.19298738
UGA,2019,69.30773512
TLS,2020,70.71957673
ITA,2017,80.39306635
VUT,2021,66.3483713
RUS,2018,67.50123441
GBR,2014,80.93676029
LKA,2014,72.99292073
ERI,2017,60.36108105
MLI,2015,60.63154328
PAN,2017,78.33177954
ZWE,2014,58.88913939
AZE,2020,67.52182835
DNK,2019,83.06299549
NPL,2021,68.26540804
LUX,2021,82.78028566
BWA,2020,65.16840503
TKM,2020,64.89433169
VCT,2015,72.79473614
PRT,2014,83.85616759
PER,2014,78.47263403
CPV,2014,71.73625434
HRV,2018,78.33929688
TGO,2019,63.64852176
MDV,2018,77.21252704
MRT,2015,69.47556756
PAN,2018,81.64181919
WB_HI,2018,78.25163885
MMR,2015,67.42672255
BRB,2016,76.32461251
WPR,2016,77.00014055
DEU,2019,83.186281
ARM,2018,70.97032846
WB_UMI,2018,72.55306401
BGD,2021,71.64660725
PRI,2016,76.97428746
SWZ,2019,59.37615097
LVA,2017,79.52690753
NIC,2015,75.62336911
SYC,2016,76.59586572
LBY,2018,73.52909525
VCT,2018,71.00240982
MKD,2015,75.34082067
PAK,2020,67.02987521
ARG,2019,77.01582731
BHS,2015,72.92357543
CHL,2021,76.68998706
MNG,2016,69.64443247
NGA,2021,64.77942703
WB_LI,2018,63.71209289
DZA,2020,75.15921358
UGA,2019,62.8214983
YEM,2015,66.14513155
BHS,2015,69.79919391
MWI,2020,63.46287777
SDN,2016,69.79466863
BGR,2016,74.77317639
WSM,2014,70.13172182
VNM,2015,68.7124022
IRQ,2016,67.53510132
BTN,2019,72.86801769
USA,2018,76.43795287
GRD,2016,72.49134059
GHA,2016,67.38636778
WPR,2014,79.97984687
GMB,2017,64.31746247
GRD,2015,75.56605558
KEN,2020,69.67346734
SAU,2020,77.92078278
WB_HI,2020,77.38933622
MDV,2017,78.16955603
IRQ,2016,74.68612033
DNK,2014,78.61687489
MAR,2020,73.86985157
JOR,2014,78.39096907
URY,2015,77.09925201
DNK,2020,83.16166983
PRI,2020,76.14090106
TON,2019,72.94212581
NIC,2020,71.71241065
BGD,2017,72.08322327
TON,2016,72.56032607
SWE,2016,80.36714012
GLOBAL,2015,72.18568947
COD,2018,63.60932257
NGA,2018,61.26091993
ATG,2016,75.54812509
CZE,2017,81.69092888
ESP,2016,80.0420428
SVK,2020,73.48147988
LBR,2021,64.26883806
NZL,2018,83.36205057
GNB,2014,54.70521169
WPR,2016,73.92346253
ECU,2017,77.31252311
TTO,2018,70.59042495
IND,2018,68.87555599
LSO,2014,46.03257198
BTN,2018,74.94852418
ZWE,2021,58.48102238
NGA,2020,64.43518594
TUR,2021,72.53640214
BEN,2020,64.40363479
BIH,2015,74.52760304
MLT,2017,82.05744637
COD,2019,64.08077318
TON,2021,72.72088222
ATG,2018,74.02402622
LBN,2018,79.36847038
DZA,2014,75.93393131
SAU,2019,76.45406338
SSD,2021,60.61474174
PHL,2019,73.21518621
COG,2018,62.71322436
IRN,2018,76.26902586
ISR,2017,84.23610352
PNG,2018,65.44844312
COM,2018,68.19621524
CHN,2019,77.31273653
WB_LMI,2016,66.91840776
CZE,2019,76.30310569
CHE,2018,81.52853149
POL,2021,79.39878959
SLB,2018,68.17591111
MRT,2016,69.64545325
ARE,2017,80.92702059
CUB,2014,78.1433227
MYS,2021,70.63625944
CHL,2019,78.66286141
THA,2020,76.50524949
SLB,2015,62.85393319
SVK,2015,80.01781693
MDG,2015,62.32660335
UKR,2018,72.71826067
KIR,2014,64.81259393
JOR,2018,79.67533655
LKA,2015,76.44590803
MAR,2019,72.85219348
PHL,2021,63.397904
VNM,2019,73.71007094
DEU,2021,82.85918032
TUN,2019,79.98849759
ESP,2018,80.15362426
ZWE,2019,56.89891029
TUR,2019,77.61966184
CYP,2018,82.05668584
IRQ,2020,73.82694404
MDV,2014,75.27055695
TUN,2015,76.78627015
LAO,2019,66.14369168
PSE,2020,75.1341365
LVA,2014,74.4358747
ESP,2020,81.92498871
ALB,2015,76.02285855
MDA,2017,72.85856435
QAT,2020,78.77670576
PRY,2020,75.24817035
MDA,2019,73.32010877
LCA,2015,72.83655011
JOR,2021,76.98049856
MEX,2015,75.93967708
IDN,2018,72.99956688
CMR,2016,59.79056297
DZA,2018,76.12985521
POL,2014,73.57068412
COM,2020,68.30703432
JAM,2015,75.00771057
MAR,2021,71.5359536
AUS,2020,81.50154912
KHM,2016,71.57463845
LUX,2015,82.3849065
ROU,2020,70.30228895
WB_LI,2020,62.04739003
TGO,2020,61.33343341
ARM,2018,75.62030513
CHE,2018,84.95543679
SYC,2014,73.23814592
DEU,2018,78.42352941
LKA,2019,80.33001892
MKD,2014,73.23054172
GTM,2018,70.21932716
CHL,2016,82.88088496
IND,2020,70.1869093
PRK,2019,69.34481232
SLV,2021,71.66703998
JOR,2020,77.55988721
KGZ,2020,67.84037894
VUT,2016,63.90912364
BRB,2014,75.07812414
URY,2016,76.84527198
KIR,2016,58.48817254
SLE,2017,59.97648447
COG,2019,62.75844008
CHE,2021,81.48440921
PRI,2017,81.7659279
RWA,2017,65.35537217
TCD,2016,59.76049635
COG,2021,63.17262301
MDV,2018,78.67792046
LAO,2015,64.66146714
MDG,2021,61.86037197
GNQ,2019,59.88290187
MYS,2017,72.68496902
PER,2015,81.94680531
ITA,2015,82.20433624
HTI,2016,63.11142345
MAR,2015,73.26259745
ESP,2019,80.53744655
RWA,2021,65.44899108
SEAR,2015,71.92408266
SWZ,2014,48.08523003
GUY,2016,70.91045823
GMB,2015,61.87149352
GLOBAL,2016,75.07098838
DOM,2018,70.38140483
GEO,2016,72.63239027
IRQ,2018,70.41628421
BGR,2015,78.03978724
PRY,2016,72.11745086
IRQ,2018,73.06286041
GRC,2021,81.95119556
PAN,2019,81.85566499
NPL,2020,72.99390367
KEN,2016,67.52974996
SEN,2021,67.79198263
USA,2020,79.50562761
VNM,2014,77.40416308
LCA,2017,76.138896
EUR,2017,74.45484928
TUN,2018,79.76295975
LBN,2017,81.32461399
BGD,2014,74.00528111
AUT,2017,81.38857295
PRY,2019,72.18344057
RWA,2014,68.47845012
UZB,2018,73.56995769
WB_LMI,2019,69.57356781
ALB,2016,77.87870915
BWA,2018,66.60113571
AZE,2015,71.67624306
AFR,2017,63.36220568
IRN,2021,74.71077692
WB_LI,2016,65.19515941
CZE,2014,81.61625463
DNK,2020,79.56240544
BHR,2019,75.38745199
DNK,2018,79.02367711
AGO,2016,59.48618868
MUS,2018,70.85811041
PAK,2017,65.62912396
GUY,2014,69.96907386
MYS,2020,78.61255709
URY,2017,77.33933717
GRC,2019,78.7970393
PAN,2019,76.19820779
STP,2020,73.0644237
MLI,2014,59.29738335
GIN,2015,57.82797481
TLS,2019,68.49880356
TZA,2015,65.15719683
SUR,2015,69.98430357
PRI,2014,83.08206749
RUS,2014,65.03989237
LSO,2015,46.29348083
HTI,2015,62.5149437
AZE,2015,73.62700051
IND,2014,67.35249858
KOR,2019,80.55797911
URY,2021,78.74074445
PRI,2021,79.90294803
FSM,2016,62.8571699
ECU,2019,80.22590365
GHA,2020,66.18136667
CPV,2018,73.8583216
BOL,2019,72.02745818
AZE,2019,78.08531304
JOR,2018,79.63154866
WPR,2018,77.3741563
WSM,2018,70.09269594
FJI,2017,70.0687841
NER,2019,60.57303502
PAN,2018,75.78783673
MNG,2015,73.59778296
MOZ,2017,57.33253714
GEO,2018,69.10967717
MKD,2017,75.98451895
LBN,2016,78.81840788
NAM,2020,67.11462629
BFA,2019,65.06135687
NZL,2020,84.26538064
CHN,2021,80.52324523
BHS,2014,72.64786335
PAK,2019,67.7864406
VUT,2014,66.71134263
BWA,2017,64.01180659
KIR,2021,60.87345633
OMN,2014,73.9416621
PER,2017,77.8534967
MDV,2015,77.25297582
HRV,2018,75.24162376
ARM,2021,68.59850963
KIR,2020,58.48495276
GHA,2019,65.97133363
KWT,2015,81.44722022
PAK,2021,65.99092295
COM,2017,69.0194309
TUN,2014,74.31676539
STP,2018,69.97173825
NER,2018,59.56258064
URY,2019,73.35699132
MEX,2015,78.5410638
USA,2016,76.37167485
BGD,2021,73.10251672
SEN,2014,68.4475013
MMR,2014,67.0395851
ETH,2016,65.88163244
CPV,2021,73.16097765
COD,2021,63.9117742
ESP,2021,79.98630023
POL,2019,81.49692483
SUR,2016,76.06941035
HRV,2015,74.54938447
JOR,2017,79.58326759
CMR,2014,58.43615921
STP,2014,70.26367532
LAO,2015,66.87363139
IDN,2020,69.70367312
AFG,2014,59.66268077
SYC,2021,74.01196664
WB_LMI,2015,70.3579557
GTM,2019,75.20206151
TUR,2018,80.08020229
BRA,2021,69.04410946
BHS,2014,75.69408629
SYC,2019,73.12375678
BLZ,2016,71.55323347
KGZ,2017,76.40308483
LSO,2017,51.05416565
MRT,2014,69.29386756
SOM,2015,51.26942495
SVN,2016,83.67828909
DJI,2016,64.3388502
NIC,2015,80.69718423
QAT,2018,78.23394922
JPN,2021,84.46067178
SLV,2014,73.8558025
BTN,2015,74.24073046
GNQ,2014,60.30341517
KIR,2016,61.75804085
ETH,2019,68.84848169
CAN,2014,79.65219763
TUN,2017,74.61286009
NAM,2017,62.37183813
NAM,2021,60.35994599
KAZ,2021,73.93874626
UZB,2017,70.40271496
BWA,2019,64.91884565
GUY,2021,66.0777533
GMB,2016,66.04930024
ZWE,2016,55.79677734
WB_UMI,2018,78.58336969
PER,2018,77.50992049
TZA,2020,69.12504947
DJI,2019,67.26533545
TKM,2014,68.91649587
SVN,2015,83.29663441
SEN,2021,69.4721467
SWZ,2016,53.13250876
JAM,2015,69.69239935
NGA,2019,61.6763007
MLT,2019,80.31026611
KAZ,2015,76.21313658
IDN,2021,66.41327031
GHA,2014,66.5599189
MEX,2018,78.92788819
CHL,2020,77.31599017
GIN,2021,59.94664411
WB_UMI,2014,71.5024955
YEM,2016,70.275108
TUR,2020,76.17525576
BHS,2015,75.97452567
VUT,2017,66.98064455
MDV,2014,76.80961188
PRY,2019,75.07903551
NER,2021,59.97070525
JAM,2020,72.64037778
LBY,2014,70.24648343
VEN,2020,72.40374475
SYC,2020,77.26435364
BLZ,2021,75.44019276
ISR,2016,83.91589195
ISL,2014,83.51930415
SLB,2018,65.55013712
AGO,2017,62.03682911
ZMB,2018,59.07181004
RWA,2021,69.40378338
SDN,2018,68.14219734
BGR,2016,78.38294235
POL,2018,81.36355456
KGZ,2020,75.08209805
ISL,2021,83.8896676
CRI,2021,75.8768644
EST,2016,73.21819164
GNQ,2020,61.15866176
MKD,2015,77.27532673
PRK,2015,68.38717277
ZAF,2014,59.5406069
MWI,2015,64.87022428
FSM,2020,65.67162273
MUS,2018,77.32586145
KIR,2020,65.25173239
JOR,2019,80.34465978
MNE,2015,79.43681387
IRN,2016,79.01030391
GLOBAL,2014,69.35405152
GUY,2018,72.01353663
VUT,2019,67.13030878
DJI,2017,66.44386093
KIR,2015,58.43414795
AFG,2019,61.22381311
GIN,2016,59.83918056
SAU,2021,77.36849779
PRI,2021,76.19514818
MEX,2014,73.31550482
SAU,2018,76.42424095
PRY,2015,78.09122069
SLE,2020,61.59923854
SOM,2015,56.00187691
GEO,2014,68.35369007
WB_UMI,2014,74.53468804
LVA,2019,71.0508773
MNE,2014,76.62030337
IRL,2015,79.33847643
STP,2021,69.59341497
NPL,2016,70.59248
PAK,2017,66.3818317
UKR,2016,67.71256992
BFA,2020,65.47294712
CRI,2021,78.63053412
KAZ,2018,77.09111278
FSM,2016,68.41023884
EUR,2021,79.29950362
HUN,2018,79.36856917
BIH,2020,73.033732
PHL,2014,69.80391436
BDI,2018,62.05013551
MYS,2019,74.68410362
CIV,2017,65.0412153
NER,2017,59.33291876
PAK,2015,66.5392574
CAN,2021,79.37275984
BHS,2019,73.25847506
FRA,2019,85.15298995
BEN,2018,63.73859672
IRN,2021,73.08422156
VNM,2016,73.21381033
ARG,2018,73.74441906
GTM,2016,69.53013039
UKR,2020,77.21837393
CPV,2019,69.71186175
NAM,2016,65.00569919
MLI,2014,59.77561439
GRD,2018,70.43170556
CUB,2016,78.14353782
SVN,2017,80.7898907
KOR,2017,83.09217588
ARG,2017,73.58865166
LSO,2020,55.13925805
CPV,2019,74.05989707
SGP,2020,83.99653626
BLZ,2020,76.6539801
IDN,2014,70.30298584
EMR,2017,69.50810208
BLR,2021,78.13226391
AGO,2015,64.12377474
GTM,2021,71.89797363
LBY,2019,75.70240825
DZA,2017,76.04556572
PRK,2016,74.51348035
ARG,2021,74.56898059
COL,2015,77.34484367
ARG,2017,76.64354126
MNE,2020,78.53351423
TLS,2021,69.56258071
SEN,2019,68.76445374
ARE,2020,80.1312721
EGY,2019,71.58973358
HUN,2021,77.82603653
PER,2016,80.1644759
SEAR,2018,71.0517579
MOZ,2015,58.81011374
SLB,2016,62.99901612
BEL,2014,80.94130643
SUR,2020,72.80157877
DOM,2019,77.18205415
ISR,2021,82.09316588
CAF,2020,56.03224454
GRC,2016,82.90991921
LUX,2019,80.8268954
UZB,2014,68.81484391
PRK,2016,68.62002772
UGA,2018,69.02362875
LSO,2020,51.85352687
DEU,2015,82.71380523
NZL,2014,82.87231401
ALB,2016,76.03946217
MWI,2014,58.43944577
SEAR,2016,72.2442062
ALB,2021,74.36082354
WB_UMI,2016,71.94696743
NZL,2017,82.81933037
BGR,2014,74.40807537
BHR,2015,75.15640147
BIH,2020,78.47855824
MNG,2020,76.9941851
ATG,2018,75.62352245
DNK,2019,79.48921177
ATG,2021,76.91527032
CYP,2014,83.94349834
AFR,2020,62.00152925
SLV,2015,72.73292352
WB_UMI,2017,75.28837476
BEN,2018,66.15166505
PSE,2016,73.24570278
MLT,2015,81.67976101
GNB,2016,58.02773484
ARE,2018,80.75667446
ALB,2019,79.87257128
BRA,2014,74.63621389
WB_HI,2015,80.39036377
GTM,2019,70.19417015
SLE,2020,59.42231268
WPR,2017,80.5227962
TUN,2018,74.79745811
GIN,2017,61.43767666
GEO,2019,78.44456013
GBR,2015,78.93371868
CZE,2020,78.12978194
PER,2021,68.81771054
KEN,2019,68.99106277
EUR,2019,81.134868
ARE,2015,80.37904692
VEN,2018,68.49800453
WB_LI,2016,62.96122947
MEX,2016,78.52452539
FRA,2014,82.2489409
BGR,2018,71.42743688
MEX,2018,72.92392214
MMR,2021,71.14628098
BWA,2014,63.20102291
LSO,2019,54.91408404
STP,2019,70.1583252
MLI,2019,61.27739131
EGY,2019,68.97361605
CUB,2018,80.24042835
KAZ,2017,68.66785994
MRT,2018,69.9973737
SEAR,2017,69.12916915
GUY,2020,63.80759167
BIH,2019,77.09808482
GBR,2017,79.19802898
ROU,2018,75.12257592
MLT,2016,83.72619129
MNG,2015,65.15879374
CPV,2020,69.08523666
IDN,2015,72.32140189
BEN,2016,63.0021663
IDN,2021,70.17754001
BGR,2018,74.85071858
BGD,2015,72.06823574
TCD,2014,58.91443156
SRB,2018,73.33789184
PRY,2020,72.44496856
PRI,2015,83.79397595
SWE,2018,83.78001337
KOR,2019,86.5646373
ETH,2014,66.55987824
FRA,2018,82.37708106
DOM,2018,73.52093617
SOM,2016,51.63684794
EUR,2017,80.71166296
EUR,2015,73.72816809
EUR,2018,80.83737385
HND,2016,69.81257612
MNE,2016,77.06052079
EUR,2014,73.48490122
ZAF,2020,64.30356494
LBN,2015,78.43741249
BDI,2014,62.32268744
GRC,2021,79.59785025
BLZ,2019,72.54915078
BTN,2020,75.9050448
AFR,2021,63.55243899
NOR,2014,79.94443491
SEN,2020,66.59261465
BRB,2015,75.12267091
GRD,2016,70.09838641
PRT,2020,80.81837464
TJK,2018,75.1254838
PRI,2015,80.5149692
BRA,2019,72.22425432
IND,2019,72.41190387
SLB,2017,63.10897273
SEN,2014,66.97585439
CHL,2019,83.34172512
VEN,2020,77.16282403
NER,2018,60.43807872
HUN,2017,75.90176306
FRA,2019,82.52902201
MNG,2016,65.53425557
BHR,2021,75.09466059
LBR,2015,60.06257921
EMR,2014,70.57517601
IDN,2020,71.89044583
ARE,2018,81.16639668
WB_LI,2019,62.10075747
KWT,2015,79.23096715
SLB,2017,68.04044253
STP,2014,68.88490517
PHL,2018,69.67627942
MNG,2016,73.98850966
PAK,2015,65.69975806
NZL,2019,80.16043429
CAN,2016,83.58934542
SSD,2018,56.69869849
ESP,2014,85.21380126
NLD,2014,81.45622695
STP,2019,71.65568515
NAM,2018,59.35141992
BTN,2014,72.91360226
NGA,2016,60.58959991
SAU,2016,76.75114086
WSM,2015,71.37092505
GTM,2021,65.64514615
GNQ,2015,62.16046469
GAB,2015,64.00078432
CZE,2014,78.68016445
ESP,2015,84.93946501
TCD,2021,60.66775459
ZMB,2015,60.4135173
NZL,2021,84.01453759
DJI,2016,65.98298287
MDA,2014,67.18429285
SLB,2014,64.95591891
RWA,2020,70.25443075
BRB,2021,76.8418344
TUN,2020,77.12175333
UKR,2020,67.57098083
KAZ,2015,67.40502866
FSM,2017,62.98736503
TLS,2021,67.99671222
TON,2020,76.11685693
PNG,2021,66.9452903
EMR,2019,68.70248344
PAN,2020,77.34684989
CIV,2019,63.48479652
NOR,2015,83.6746066
CRI,2017,82.67328601
MLI,2018,61.88139379
TCD,2018,57.478741
MMR,2021,67.84580637
RUS,2019,78.00425983
SYR,2020,71.99813819
WB_UMI,2020,74.89743849
NPL,2019,69.55633104
LUX,2016,84.48983327
GMB,2014,61.64615877
KWT,2017,86.25924006
BLR,2020,78.26964702
TKM,2015,72.30973589
SDN,2019,68.35062978
BEN,2017,60.99888714
SUR,2020,76.30794293
VEN,2017,68.70067112
ECU,2019,75.32364072
EMR,2014,67.19369582
CRI,2015,80.57423676
HND,2019,71.43843431
TON,2020,73.18678447
PHL,2018,73.4584067
KOR,2018,86.02887115
MDG,2016,63.46510267
WSM,2020,71.73158651
ATG,2018,77.01838174
ALB,2018,77.93851855
EGY,2018,71.35791195
JPN,2020,84.66324868
SAU,2014,78.29621801
MAR,2018,72.74164376
ZMB,2017,61.28533224
EMR,2014,68.82634221
EST,2021,81.19586305
LBY,2017,73.15169822
ROU,2018,71.46308707
IRN,2019,79.40100875
ZWE,2021,56.19460869
BHS,2017,73.21936648
